,0,1,2,3
237,0.0,-1.5603968453245014,20.0,2265.692
238,0.0,-1.5920196219261853,20.0,2265.692
239,0.0,-1.623642398527869,20.0,2265.712
240,0.0,-1.6552651751295528,20.0,2265.732
241,0.0,-1.6868879517312363,20.0,2265.772
242,0.0,-1.7185107283329202,20.0,2265.772
243,0.0,-1.7501335049346038,20.0,2265.792
244,0.0,-1.7817562815362877,20.0,2265.812
245,0.0,-1.8133790581379716,20.0,2265.848
246,0.0,-1.8450018347396555,20.0,2265.892
247,0.0,-1.8766246113413392,20.0,2265.892
248,0.0,-1.908247387943023,20.0,2265.892
249,0.0,-1.9398701645447067,20.0,2265.912
250,0.0,-1.9714929411463906,20.0,2265.932
251,0.0,-2.003413097786879,20.0,2265.972
252,0.0,-2.038054113938257,20.0,2265.972
